tweet,true_label,predicted_label
"RT @CNBCnow: BREAKING: Disney+ surpasses 50M subscribers globally; $DIS shares pop more than 4% after hours 

https://t.co/SLfhgCMvbd https…",0,1.0
Gambling... I mean trading hours over Easter (CET) #crypto #forex #stocks https://t.co/JK8ISXHjtK,0,0.0
"RT @moneycontrolcom: #MarketsWithMC | D-Street is inching towards a photo finish for this week, as bulls have fuelled a smart rally. @KshAn…",1,1.0
$AAPL #patent 20200111334 Semantic Framework for Variable Haptic Output #tech #IP #research https://t.co/T7JJck4LOT,0,0.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"$AMZN Reportedly to suspend its own delivery service that had competed with UPS $UPS and Fedex $FDX; Amazon to focus on own customers' orders - press (https://t.co/JPKVUAPUFP Inc)
(More at https://t.co/lFXYfZ77Ea)",0,0.0
"RT @AlexFX00: Good morning! Join today's market update for the latest on $EURUSD #Crudeoil #DAX30 #SPX500 #Coronavirus 

𝟔𝟕.𝟔𝟕% 𝐨𝐟 𝐫𝐞𝐭𝐚𝐢𝐥 𝐢…",1,1.0
"$BTC #Bitcoin

I'm short hedged from 7335 mainly because i think today will be a volatile day in the traditional markets. 4 day weekend coming up and i expect some profit taking to be done in the $SPX before that. I expect $BTC to follow down.",0,0.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"Why Is Warren Buffett Ignoring the Coronavirus Market Dip?

https://t.co/Kz8mPFmpg0

#coronavirus  #stocks #markets #finance #investing #trading",0,1.0
"RT @MertiumFin: ""Data from investor Howard Marks shows why there may be another drop in stocks coming soon""  #data #Howard #shows #stocks #…",0,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"RT @CallMeShylo: POSITIONS BANKED ✔ 

Now watching the show ✔

10:10am #TiME ✔
2777.77 $SPX #PRiCE ✔
£2368 already #BANKED ✔

DM from @That…",1,1.0
Great way to kick shopkeepers when they're are already down. $MA $V https://t.co/X8IcunBFgn,1,0.0
"SmartInsider - Danal: 2 directors bought/maiden bought: Two Directors at Danal bought/maiden bought 33,930 shares at between 3,426.304KRW and 3,509.000KRW. The significance rating of the trade was 58/100. Is that information sufficient… https://t.co/GJk9EDvYCo #equity #stocks",0,1.0
"$034730 #SK Holdings Sk Holdings Co Ltd: 1 director bought: A director at Sk Holdings Co Ltd bought 37,366 shares at 165,808.771KRW and the significance rating of the trade was 70/100. Is that information sufficient for you to make an… https://t.co/VuI3hwYwcP #equity #stocks https://t.co/RpzwJKqHFe",0,1.0
"$STO #Santos Ltd. Santos Limited: 1 director sold: A director at Santos Limited sold 515,755 shares at 4.290AUD and the significance rating of the trade was 77/100. Is that information sufficient for you to make an investment decision?… https://t.co/oxeTjhaRXI #equity #stocks",0,1.0
"$LNR. #Linamar Corp. Linamar Corporation: 2 directors bought/sold: Two Directors at Linamar Corporation bought/sold 46,800 shares at between 30.383CAD and 32.712CAD. The significance rating of the trade was 75/100. Is that information… https://t.co/xakMFV45lA #equity #stocks",0,1.0
An effective GOLD Breakout strategy https://t.co/9LjLlQ27KK #prorealtime #trading #markets #stockmarket #trader #stocks #investing #money #forex #bitcoin #cryptocurrency #finance #prorealtime,1,0.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
CityFALCON score gives top rated news for FREE #bigdata $AAPL $TSLA https://t.co/5TwDNEFnih https://t.co/8kwGKtHAVZ,1,0.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"RT @awallenstein: BREAKING: Disney+ reaches 50 million paid subscribers in 5 months worldwide, $DIS announces...",0,1.0
"RT @CNBCnow: BREAKING: Disney+ surpasses 50M subscribers globally; $DIS shares pop more than 4% after hours 

https://t.co/SLfhgCMvbd https…",0,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"So, #investors are sure now that all customers will be paying their respective EMIs and loans on time?

#Bajajfinance 

#investing #Investment #stocks #stockmarket #finance #COVIDー19 https://t.co/lWBI3Nx6oh",0,1.0
"RT @dukesealman: @metz_chance @washingtonpost ...
...
...

don't believe leaders.  Esp when they bootleg #influenza #s

$amzn $wmt $brka $m…",0,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"$GOOG #patent 20200111018 Optimization of Parameters of a System, Product, or Process #tech #IP #research https://t.co/K0lJVhwQpE",0,0.0
"The #SP500 just reached an interesting short area. I wouldn't be surprise to see more sell pressure in the following days. #stocks #trading $SP500

https://t.co/Gn0kC7Jt1q",1,0.0
RT @ivolatility: $DIS: DAILY 1 YEAR VOLATILITY CHART into Disney+ surpasses 50M paid subscribers https://t.co/uimHfmpXmE,1,1.0
that's 2768. We are done. Highest 2773. I think we are done. See how far it will pull back now #SPX500 $SPY,0,1.0
"A Rush to Stocks, Driven by Bargains and Bravery https://t.co/rizmN143Xm
TY @MatthewPhillips V/ @nytimesworld

#Recession #FederalReserve #Markets #Stocks #StockMarket #Unemployment
@M_C_Klein @JSchifferes @WallStreetYoda @barani_krishnan @andi_staub",0,0.0
"RT @SusanLiTV: #stocks hit session highs on this news 👇
Relieved that a man that wants to break up big #technology &amp; big #Banks 
#Health st…",0,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
RT @PaulRitchiepr: Fascinating discussion regarding the incredible clout of the stimulus programme.  With @_HadleyGamble #stocks #coronavir…,1,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"RT @gvkreddi: #Nifty50 stocks today with returns &gt;2%. Other than sentiment, what's different from day before yesterday &amp; yesterday to today…",0,1.0
"RT @AlkaneResources: Latest significant intercepts at Alkane’s San Antonio prospect, with assay results for the final ~7,000 metres showing…",0,1.0
"RT @moneycontrolcom: #MarketsWithMC | D-Street is inching towards a photo finish for this week, as bulls have fuelled a smart rally. @KshAn…",1,1.0
"#EicherMotor posted high of 14046. CMP 13850.

#stocks #StockMarket #niftybank #nifty",1,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"European #stocks climb on optimism policymakers will find ways to re-open economies

https://t.co/nU79F8WpLU",1,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
Continental Building Products Inc $CBPX Receives Consensus Rating of “Buy” from Analysts https://t.co/p1CfSZGzAm #stocks,0,1.0
EnLink Midstream LLC $ENLC Receives Consensus Recommendation of “Hold” from Analysts https://t.co/Y9O409PVip #stocks,1,1.0
MGM Growth Properties LLC $MGP Given Average Rating of “Buy” by Brokerages https://t.co/TqlNQJQTp4 #stocks,0,1.0
Health Insurance Innovations Inc $HIIQ Receives Consensus Recommendation of “Buy” from Brokerages https://t.co/JErejNLjex #stocks,1,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"RT @vantillian: That Clown is the market try to get me to go ALL-IN. He keeps saying “we already hit bottom, we’re recovering nicely, and i…",0,1.0
"RT @TweetsMillenia: OPEC+ to virtually meet. 4pm CET
Possible outcomes for $SPX $USO
Express your views and kindly RT for a bigger sample #…",1,1.0
"OPEC+ to virtually meet. 4pm CET
Possible outcomes for $SPX $USO
Express your views and kindly RT for a bigger sample #OOTT",1,1.0
"RT @leadlagreport: Have a big writing coming out tomorrow on @seekingalpha.

Title?

The Greatest Disconnect Between Stocks And The Economy…",1,1.0
"RT @moneycontrolcom: #MarketsWithMC | D-Street is inching towards a photo finish for this week, as bulls have fuelled a smart rally. @KshAn…",1,1.0
$GOOG #patent 20200110886 Enclave Fork Support #tech #IP #research https://t.co/Mc2tKzAFJD,0,0.0
$AAPL #patent 20200110485 LIGHT TRANSMISSIVITY-CONTROLLED TOUCH SENSOR PANEL DESIGN #tech #IP #research https://t.co/luMgL0iSYZ,0,1.0
"RT @gvkreddi: What to understand from the #NiftyAuto index?

No truck, car or bus sold &amp; no truck, car or bus moves but  #stock prices can…",0,0.0
"Insider Selling: Alphabet Inc $GOOG Director Sells $51,805.80 in Stock https://t.co/pHCaysl0bJ",1,1.0
"#MarketsWithMC | D-Street is inching towards a photo finish for this week, as bulls have fuelled a smart rally. @KshAnand lists top factors that could be driving this optimism.

#StockMarket #StocksToWatch #Sensex #Nifty #Stocks
https://t.co/9GA8prz3Pw",1,1.0
"Insider Selling: Alphabet Inc $GOOG Director Sells $51,805.80 in Stock https://t.co/4uV8FQZWV5",1,1.0
"RT @MagnaCrypto: Looks like we're at a juncture, close above this zone and we go up, close below and we go down. Be prepared for either hap…",0,1.0
Track news with various time frames for $DJIA under one watchlist $CVX $BA $IBM https://t.co/8zP8MKc2dK https://t.co/eAEn1ymppB,1,0.0
"RT @MagnaCrypto: Looks like we're at a juncture, close above this zone and we go up, close below and we go down. Be prepared for either hap…",0,1.0
"RT @CNBCnow: BREAKING: Disney+ surpasses 50M subscribers globally; $DIS shares pop more than 4% after hours 

https://t.co/SLfhgCMvbd https…",0,1.0
"#Sensex &amp; #Nifty is maintaining good strength, here’s Mr. Gaurang Shah, @GeojitFinancial , advising long time #investors to stick to front line #stocks - don’t miss the video on #Ticker TV #StocksToTrade #StockMarket #StayHomeStaySafe  https://t.co/6yDoMdEzBO",1,1.0
"New York Open: Trend is your friend, but pre-Easter weekend position squaring ensues, as all eyes and ears trained on #OPEC + webcams  and US claims #forex #OOTT #stocks #Oilpricewar #stockmarekts https://t.co/TKIoVMO5dL via @wordpressdotcom",0,0.0
Why Shares of Chinese Electric-Car Maker NIO Fell Almost 33% in March @themotleyfool #stocks $NIO https://t.co/kdPY3aHTYd,0,1.0
Huge variation: Monsanto Company Common Stock $MON 87.58 down -4.49% 4:02pm https://t.co/Pa7hloe5u9  #stocks,1,0.0
"RT @DojiFranco90: 😀

Keeping it super simple as per my plan shared March 17th
#SPY #SPX #ES_F $SPY $SPX

Caution: Now even the permabears w…",1,1.0
Zacks: Analysts Anticipate PacWest Bancorp $PACW Will Post Earnings of $0.70 Per Share https://t.co/RRppykAEze #stocks,0,0.0
Newell Brands Inc $NWL Expected to Announce Earnings of $0.06 Per Share https://t.co/iPpZqND8YE #stocks,0,1.0
"RT @awallenstein: BREAKING: Disney+ reaches 50 million paid subscribers in 5 months worldwide, $DIS announces...",0,1.0
"RT @gvkreddi: What to understand from the #NiftyAuto index?

No truck, car or bus sold &amp; no truck, car or bus moves but  #stock prices can…",0,0.0
"RT @gvkreddi: #Nifty50 stocks today with returns &gt;2%. Other than sentiment, what's different from day before yesterday &amp; yesterday to today…",0,1.0
"RT @SquawkAlley: .@Intel CEO Bob Swan discusses the company's $50 million commitment to help fight the virus outbreak. 

@cnbc @jonfortt $I…",0,1.0
$GOOG #patent 20200110738 RECONCILING CONFLICTS BETWEEN REPLICAS OF TREE-STRUCTURED DATA #tech #IP #research https://t.co/8HwKszfzyt,0,1.0
"In the meantime, the market has rallied more than 11% during the last three days. Yep, 11% in three days. $SPX https://t.co/q361pNoVbM",0,1.0
$AAPL #patent 20200110446 TRIMLESS GLASS ENCLOSURE INTERFACE #tech #IP #research https://t.co/l3LVRGMz6q,0,1.0
"I wonder if ANYONE has considered the possibility that a large percentage of #workers could be #shareholders as well. 

#trading #investing #markets #DowJones #SP500 #stocks #Politics #coronavirus #COVID19 https://t.co/h5QYmfqWWd",0,1.0
"RT @SusanLiTV: #stocks hit session highs on this news 👇
Relieved that a man that wants to break up big #technology &amp; big #Banks 
#Health st…",0,1.0
"RT @qwerkey1: ""Companies in the S&amp;P 500 Index that are likely to receive assistance from Mnuchin’s fund include Boeing, Southwest Airlines,…",0,1.0
RT @CryptoInvestin4: $BAC was the first of the big banks to get its #PaycheckProtectionProgram portal up and running. The #bank has receive…,0,1.0
"Bernstein Daily Performance Update - YTD: #DAX (-22.01%); S&amp;P 500 (-14.88%); #RTS (-28.04%); SPDR #Gold Shares (8.22%); #Bitcoin (1.95%)
#ETF #Indexes #Indice #Shares #Performance #Stocks  #Compounding #BTC #ValueInvesting #Compounding #Benchmarks",1,0.0
"$SAR #Gr. Sarantis S.A. Sarantis Sa: 2 directors bought: Two Directors at Sarantis Sa bought 17,000 shares at between 6.790EUR and 6.960EUR. The significance rating of the trade was 61/100. Is that information sufficient for you to make… https://t.co/OkDOhQgquN #equity #stocks",1,1.0
"Goodmorning #shylobots 👃

$SPX #US500 #SNP500 $SPY #ES_F #M_ES $NQ_F #NDX https://t.co/Tx3tJmEjDg",1,1.0
"What do you guys think about the latest bounce? Economically speaking I am very pessimistic for 2020. Obviously the exchange is forward looking, but isn't it a bit to optimistic at the moment? I don't see USA fixing this pandemic as it should be. #covid #stocks #CoronaCrisis",0,1.0
"RT @awallenstein: BREAKING: Disney+ reaches 50 million paid subscribers in 5 months worldwide, $DIS announces...",0,1.0
$GOOG #patent 20200109961 Adaptive and Personalized Navigation System #tech #IP #research https://t.co/8jIaVa3djw,0,1.0
$AAPL #patent 20200110473 CAPACITIVE GAP SENSOR RING FOR AN INPUT DEVICE #tech #IP #research https://t.co/tokE4Cwp3b,0,1.0
#cipla is on a different kind of substance I guess 😅. 36% up in the past 4 sessions on the EOD chart. Trading above 200 SMA too. #stocks #StockMarket https://t.co/6QXrW8IkEb,1,0.0
"RT @IamBitmannn: Shorted $LINK yesterday from $3.00-$3.09, and exited at $3.13.

Now going to short again around $3.40.

Not sure if it gli…",0,1.0
"RT @awallenstein: BREAKING: Disney+ reaches 50 million paid subscribers in 5 months worldwide, $DIS announces...",0,1.0
RT @PaulRitchiepr: Fascinating discussion regarding the incredible clout of the stimulus programme.  With @_HadleyGamble #stocks #coronavir…,1,1.0
"$BAC was the first of the big banks to get its #PaycheckProtectionProgram portal up and running. The #bank has received 177K applications from small #businesses for a total of $32.6B in loans...If approved, that would #account for almost 10% of the $350B passed by #Congress.",0,0.0
"Good returns in the falling market?Know how.
https://t.co/ICoEoj585M
#StockMarket #stocks #Economia #investing #Investment #ThursdayThoughts #finance #Nifty #profits",1,1.0
Do you know everything while trading in $DJIA $CAT $XOM $GS https://t.co/8zP8MKc2dK https://t.co/wRpUlx75RW,0,0.0
"Shorted $LINK yesterday from $3.00-$3.09, and exited at $3.13.

Now going to short again around $3.40.

Not sure if it glides past this resistance. 

FYI, I hold more $LINK than any other Altcoin for long-term.

#Bitcoin #LINK #XRP #ETH #COVID19 #forex #stocks $BTC https://t.co/ZhoEL6Lirq",0,0.0
"**Riddhi Siddhi Share Brokers**

*LOSS RECOVERY CALL*

*GO LONG 🚀IN #AMBUJACEM CMP 159 LOT SIZE 2500*

GO WITH STRICT *STOP LOSS* AS PER YOUR RISK APPETITE

Refer our disclaimer #RIDDHISIDDHI #stocks #investing #trading #investkarbefiker",0,1.0
"RT @asadcfb: BUY #USDJPY at 108.85
SL 108.35
TP 109.40/50

Follow me for the Real Time Live trading signals in Global Financial Markets

#f…",0,0.0
"Packaging #inventory #stocks for shipment on request, immediate production of #handsanitizer, 75% #alcoholsterilizer, and #liquidsoap, please email sales@srpackaging.com to reserve your #packaging, No MOQ, https://t.co/1dRfPYxDEm https://t.co/GI8TCpJKBM",0,0.0
"@the_chart_life Interesting you pick out #molina #healthcare -it's been in buy on our system since NOV 2019. Shows up different approaches different time frames. See chart. Key: above the cloud ""In Buy"" below ""In Sell"" #SP500 $MOH https://t.co/NjJwKS0juf",0,1.0
"RT @awallenstein: BREAKING: Disney+ reaches 50 million paid subscribers in 5 months worldwide, $DIS announces...",0,1.0
"RT @gvkreddi: What to understand from the #NiftyAuto index?

No truck, car or bus sold &amp; no truck, car or bus moves but  #stock prices can…",0,0.0
"RT @williamoneilco: ""The whole secret to winning big in the stock market is not to be right all the time, but to lose the least amount poss…",0,1.0
"RT @awallenstein: BREAKING: Disney+ reaches 50 million paid subscribers in 5 months worldwide, $DIS announces...",0,1.0
#SPX500 If you short there will be a bounce on 2685-2680 https://t.co/gV9YaWq2gW,1,1.0
"RT @leadlagreport: Have a big writing coming out tomorrow on @seekingalpha.

Title?

The Greatest Disconnect Between Stocks And The Economy…",1,1.0
RT @anjeltrade: $DIS  with that subscribers boost pushing the stock higher-up. Close above 108 can give this stock a breather from shorts n…,1,1.0
"RT @RichLightShed: With 50 million subs and growing, Disney should use @disneyplus to replace theatrical window -- raise pricing to $15-$20…",0,1.0
RT @SGA2K: @Hercules_Trader Would have been a good play today.. $DIS did well!,1,1.0
RT @JerryCap: $GOOG is now a value investment https://t.co/eevfn4FYrC,1,1.0
"#BalkrisInd fut buy abv 892.85

Did UC and high made 918.4 🚀 🚀
Lot size 800

#stocks
#StocksToTrade
#stockstowatch
#StockMarket
#Nifty
#Sensex https://t.co/a7Ql6n1R9Y",1,1.0
Gold - Positioning itself for the next move taking it above $1700 #gold #silver #preciousmetals #GDX #GDXJ #HUI #business #finance #investments #stockmarket #fintwit #stockstotrade #stockstowatch #fintwit #stocks https://t.co/5Ah06r0sBd,1,1.0
"/ym up 278 points and /es up 27 points ahead of the producer price index (PPI) report @ 8:30 EST, intitial jobless claims report @ 8:30 EST, and the Michigan consumer expectations @ 9:00 EST. #ppi #joblessclaims #michigansentiment #economiccalendar #trading #stocks #news",0,1.0
$NYMO overbought but could get more overbought. Does seem like a temporary pullback is due soon before higher $SPX https://t.co/IDZ2kYPWRH,0,0.0
"Recording of Seminar: Are World Indices Entering into A Crash Territory? --&gt; https://t.co/b9AMpDfgza
$SPX $YM_F $DAX $FTSE #Elliottwave #SPX #INDU #DAX #FTSE https://t.co/HCg6o3Yk9u",0,1.0
"Is the latest up-move in #equities stretched too far? We pay attention to the #Dow30 as it is very close to the 50% Fibo resistance, the VWAP and the upper BBand. It is more likely sellers to become more active again around these levels.

#forex #trading #investing #stocks https://t.co/pjr8grdUJh",0,0.0
"RT @Investingcom: BREAKING:

DISNEY SHARES JUMP 4% AS DISNEY+ SUBSCRIPTIONS TOP 50 MILLION

$DIS https://t.co/hxxJNbgTqS",0,1.0
"RT @awallenstein: BREAKING: Disney+ reaches 50 million paid subscribers in 5 months worldwide, $DIS announces...",0,1.0
RT @SeekingAlpha: Big Picture Perspective On Bear Markets With Recessions. https://t.co/v6nM1BEHyX #investing #trading #stocks,0,1.0
"RT @awallenstein: BREAKING: Disney+ reaches 50 million paid subscribers in 5 months worldwide, $DIS announces...",0,1.0
$SPX heading back to the 50 MA https://t.co/yYBBUMC706,0,0.0
Investment Analysts’ Recent Ratings Changes for Brightsphere Investment Group $BSIG https://t.co/cn0rLJj5Uj #stocks,1,1.0
2600 on #SPX500 is where we have to close the week today to keep this #Bull #Market going for now :) happy Easter! https://t.co/W52lcJgBe5,1,0.0
"#European #indices far weaker than the #US the strongest of which is the #NASDAQ100 which is still in buy on our system. See charts on it, #ftse100 #DAX30 &amp; #Ibex35 for comparison. Key: above the cloud ""In Buy"" below ""In Sell"". #trading #investing #stocks #COVID19 #COVID2019 https://t.co/HCP1g9vXxk",0,1.0
"RT @RichLightShed: With 50 million subs and growing, Disney should use @disneyplus to replace theatrical window -- raise pricing to $15-$20…",0,1.0
$SAP #SAP AG SAP : Resilient revenue growth in Q1 and satisfactory new FY 2020 guidance: &gt;Resilient revenue growth in Q1 but weak EBIT margin - SAP pre-announced its Q1 2020 results last night because of a miss at the non-IFRS EBIT level… https://t.co/1ORGsZHbkZ #equity #stocks https://t.co/bKLKvucQgb,0,1.0
$SAP #SAP AG SAP : Resilient revenue growth in Q1 and satisfactory new FY 2020 guidance: &gt;Resilient revenue growth in Q1 but weak EBIT margin - SAP pre-announced its Q1 2020 results last night because of a miss at the non-IFRS EBIT level… https://t.co/ch2IoeW8kl #equity #stocks https://t.co/GQ9uIckx24,0,1.0
RT @AmericanBanking: Zacks: Analysts Anticipate Avnet $AVT Will Announce Earnings of $0.33 Per Share https://t.co/CcRf9K4Cvx #stocks,0,1.0
"Morning Update: 
- Markets positive with people touting 'peak pandemic' phase
- $SPX futures up 1.20% 
- Google bans $ZM desktop app 
- OPEC+ meeting today! https://t.co/kDz17ZwWlB",1,1.0
@TicTocTick $DIS 62.48 Let’s see...,0,1.0
"Sensex soars 1192.58 points; currently at 31,086.54

#Nifty #ShareMarket #StockMarket #Stocks #Sensex #Update https://t.co/pISuGzbXqS",0,0.0
"S&amp;P 500 | $SPX | $SPX500 $USD

Optimism is good but (1500-1600) can't be ignored

Long or short it with BTC on Trade8: https://t.co/MIe9xn4UCg https://t.co/U17LOoMPlF",0,1.0
$DIS Distil sees high demand for booze during UK lockdown https://t.co/qA5JpjDddp via @proactive_UK  #DIS,0,1.0
STARBUCKS U.S COMPS SALES DOWN 60-70% IN LAST WEEK IN MARCH - #CNBC #trading #news #stocks,0,1.0
"@DaytradingLuke That ""higher"" was good enough to fill orders in the middle of the zone, now we manage our entries, IF we have some. It can fail, make a false break and fail, OR go higher through the stops. First test was gone, now to see is R holding, and $DAX following $SPX which is strong",0,1.0
"02 opposite things are rising within #India !!!

(1) CORONA cases

(2) StockMarkets - #BSE, #NSE etc.,

Investors be cautious - #Bulls / #Government can't pull it back - Its Temporary (Time being)

#StockMarket 
#stocks",0,1.0
"RT @CurrencyWar1: CONCERNING DIVERGENCE
$SPX tracked $USDCNH 1:1 recently. Question I've asked is whether China can hold the line and keep…",0,1.0
$spx only 13 points away from the 50% out of the session! https://t.co/aab1sZilYF,0,0.0
"Atlas Air Worldwide Holdings, Inc. $AAWW Given Average Rating of “Buy” by Brokerages https://t.co/oIv7D5EHHV #stocks",1,1.0
"WellCare Health Plans, Inc. $WCG Receives Consensus Rating of “Hold” from Analysts https://t.co/2Y56gFab7Z #stocks",1,1.0
Cardiovascular Systems Inc $CSII Receives Average Rating of “Hold” from Brokerages https://t.co/er2qvovGj3 #stocks,0,1.0
Analysts Anticipate Wisdom Tree Investments Inc $WETF to Post $0.06 EPS https://t.co/mflBJrch6P #stocks,0,1.0
Msci Inc $MSCI Receives Average Recommendation of “Buy” from Analysts https://t.co/pfbc32KYJ8 #stocks,1,1.0
Brokerages Expect Community Health Systems $CYH to Post -$0.35 EPS https://t.co/WrUdbemsoC #stocks,0,1.0
Market is back to steroid mode as Fed's keep inducing the $$$ drug.  Economy is  a drug addict and Drumpf is now the drug dealer to keep the ponzi scheme going $SPY $SPX $ES_F,0,1.0
